Year	StatType	Terms	Statistic	P-Value	Additional Info
2008	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	18.071761176862957	5.113602383348499e-82	Reporting FET on the AB hits and B totals. Probably CORRECT.
2008	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	17.13248259809685	8.495105807285619e-66	Reporting on z test of proportions.
2008	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	20.80189125295508	NOTSURE	Small number of window hits make p-value calculation difficult.
2008	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	20.394879795956424	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.69420913823913-52.335922880095424    CI2: 1.23546863347283-4.042527812416195 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2008	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	99.7751981727767	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2008	chisq		289.5806466107524	6.136628695383409e-65	
2008	tost		11.588350021491001	1.0	
2009	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	19.034873430691086	8.002317353961312e-88	Reporting FET on the AB hits and B totals. Probably CORRECT.
2009	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	17.66310959767939	8.067039606852343e-70	Reporting on z test of proportions.
2009	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2009	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	21.528841246099756	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.15068495406494-51.136900188981926    CI2: 1.1490703087793712-3.759117056631696 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2009	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	112.1458493568177	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2009	chisq		307.9239726544065	6.186971315368909e-69	
2009	tost		11.83070610034155	1.0	
2010	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	18.8823740605403	1.1868630819773766e-91	Reporting FET on the AB hits and B totals. Probably CORRECT.
2010	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	18.04401156128652	8.792348157667251e-73	Reporting on z test of proportions.
2010	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	17.327709279688513	NOTSURE	Small number of window hits make p-value calculation difficult.
2010	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	21.401084344896283	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 38.671813464894996-50.130800475853974    CI2: 1.154662997058866-3.665830429678035 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2010	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	110.25656144154075	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2010	chisq		321.47422518673244	6.914891142367661e-72	
2010	tost		12.102487042274545	1.0	
2011	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	19.599038277159085	2.0299383404834077e-96	Reporting FET on the AB hits and B totals. Probably CORRECT.
2011	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	18.440878438400983	6.173017481647367e-76	Reporting on z test of proportions.
2011	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2011	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	22.25445378470527	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 37.96384765330258-48.883305189504505    CI2: 1.086472060234928-3.448882060155035 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2011	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	122.84652412006885	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2011	chisq		335.9165172071808	4.945339365087635e-75	
2011	tost		12.281074983040385	1.0	
2012	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	19.98434691001628	4.667680332410715e-99	Reporting FET on the AB hits and B totals. Probably CORRECT.
2012	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	18.65238971035661	1.207571907860223e-77	Reporting on z test of proportions.
2012	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2012	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	22.699174418179155	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 36.963827870242575-47.3873359699828    CI2: 1.0349082806245262-3.284862895386181 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2012	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	134.71052804667067	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2012	chisq		343.81390904623737	9.425024303966121e-77	
2012	tost		12.375862303276602	1.0	
2013	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	20.39468384788153	5.692403338355298e-102	Reporting FET on the AB hits and B totals. Probably CORRECT.
2013	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	18.87473914012896	1.8403028924930685e-79	Reporting on z test of proportions.
2013	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2013	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	23.179595410828465	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 36.07808011193602-46.050334866125525    CI2: 0.9870636274359565-3.132703987446702 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2013	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	148.06929184586096	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2013	chisq		352.20509701648484	1.4026610474378212e-78	
2013	tost		12.474483489552764	1.0	
2014	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	21.04531904598936	3.005303289778672e-106	Reporting FET on the AB hits and B totals. Probably CORRECT.
2014	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	19.218861905978876	2.5735295879401894e-82	Reporting on z test of proportions.
